Département,Votants,Blancs,Exprimés,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Savoie,251780,3931,246358,5536,64689,8081,56733,18045,49858,4418,15642,13608,1849,6694,2.1987449360552866,25.69266820239892,3.209548018111049,22.532766701088253,7.166971165303042,19.802208277067283,1.7547064897926763,6.2125665263325125,5.404718404956708,0.7343712765112399,2.6586702676940184
Saône-et-Loire,307623,5923,299300,7419,82633,10186,81970,20686,52336,6037,10730,15210,2369,7745,2.411718239533455,26.861775614957267,3.311195846864506,26.646252068278383,6.724464685670448,17.013032185499785,1.9624670457020443,3.4880356800369285,4.944363717927462,0.770098464679169,2.5176921101478107
Seine-Maritime,657105,10982,642965,19896,179698,13588,177806,33361,136136,11139,24785,24281,5477,12365,3.027826603054306,27.346923246665295,2.067858257051765,27.058993615936572,5.076966390455103,20.717541336620478,1.6951628735133655,3.771847726010303,3.6951476552453566,0.8335045388484336,1.881738839302699
Seine-Saint-Denis,554002,7607,543151,11642,110118,6805,64543,27969,266632,5890,19352,17481,3663,6300,2.1014364569080977,19.87682354937347,1.228334915758427,11.650318951917141,5.048537730910719,48.128346107053765,1.063173057136978,3.493128183652767,3.1554037711055196,0.6611889487763583,1.1371800101804685
Seine-et-Marne,676131,11057,660929,12843,165208,13797,155738,47893,170969,7853,26718,36828,4600,15042,1.8994839757384294,24.43431820165027,2.040580893347591,23.03370204886331,7.083390644712341,25.286372019623414,1.1614613144494188,3.951601095054065,5.44687346091216,0.6803415314487873,2.2247168078375346
Somme,307369,4837,298918,7706,83107,7371,98024,16885,52343,3746,8048,11380,2206,5616,2.5070843188480296,27.038185373280974,2.398094798109113,31.8913097937658,5.493397187094339,17.029368609065976,1.218730581158152,2.61835123255761,3.7023902865936384,0.7177041276120885,1.8271198461783718
Tarn,235360,3451,229842,5313,53925,17010,56543,15982,48430,5818,8680,10014,1829,5123,2.2573929299796056,22.911709721278044,7.227226376614548,24.024048266485384,6.790448674371176,20.576988443235894,2.4719578518014957,3.6879673691366417,4.254758667573079,0.7771074099252209,2.176665533650578
Tarn-et-Garonne,149081,2169,145820,3628,31737,9573,42183,11772,27881,3069,4835,5994,1057,3412,2.4335763779421926,21.288427096678987,6.421341418423541,28.295356215748484,7.8963784788135305,18.70191372475366,2.058612432167748,3.2432033592476572,4.020633078661935,0.7090105378955065,2.2886886994318525
Territoire de Belfort,71486,1242,69654,1485,16768,2000,19061,5583,14601,1052,2798,3322,603,1821,2.0773298268192373,23.456341101754187,2.797750608510757,26.663962174411772,7.809920823657778,20.424978317432785,1.4716168200766584,3.9140531013065494,4.647063760736368,0.8435218084659933,2.5473519290490443
Val-d'Oise,540676,8027,529585,10060,138166,9101,91081,37564,175666,6094,20710,26403,3352,8996,1.8606337251884677,25.554306090893625,1.6832631742485333,16.845763451679012,6.947598931707715,32.49006798896197,1.1271075468487597,3.830390104239877,4.8833312371919595,0.6199646368620024,1.663843040933942
Val-de-Marne,600677,8501,589058,14954,171409,8944,69599,43430,192427,8276,31904,32522,3730,9359,2.489524320058867,28.53596858211651,1.488986593460379,11.586759606244287,7.230175285552801,32.03502048521918,1.3777787396554222,5.3113403709481135,5.414224283600005,0.6209660100186956,1.5580753050308236
Var,609692,7803,598730,10672,142335,17784,183287,79329,89272,5703,21044,28342,3578,15286,1.750392001207167,23.345394067824408,2.9168826227012983,30.062228141422224,13.011323750352638,14.642147182511826,0.9353903282313036,3.451578829966606,4.648576658378329,0.5868536900598991,2.507167553453219
Vaucluse,309957,4350,303865,6247,66885,9843,89413,30473,63049,3769,12128,11918,2023,6896,2.0154408514729463,21.57879963995006,3.1756017770206832,28.846904570633992,9.831363705288153,20.34120861926009,1.2159751191294275,3.9128008078539924,3.8450494746045423,0.6526711769697087,2.2248247337533917
Vendée,430416,7312,419709,8153,149587,13039,97280,25663,60524,7244,19753,22534,3621,9664,1.894213969740902,34.75405189398163,3.0293948180365042,22.60139028288911,5.962371287312739,14.061744916545853,1.6830229359503364,4.589281067618304,5.2354001709973605,0.8412791346046616,2.245269692576484
Vienne,237707,4053,231652,6412,67831,7741,54214,11939,49162,4542,10727,9959,2315,5095,2.6974384431253604,28.535550067940786,3.2565300979777625,22.807069207049015,5.022569802319662,20.681763683862908,1.9107556782088875,4.512698406020857,4.189611580643398,0.9738880218083606,2.1433950199194807
Vosges,208999,3431,203694,3847,51432,7203,65646,13184,32655,3114,7562,9344,1986,6152,1.8406786635342751,24.60873018531189,3.4464279733395853,31.40971966373045,6.308164153895474,15.624476672137188,1.4899592821018282,3.618199130139379,4.4708347886832,0.9502437810707228,2.943554753850497
Wallis et Futuna,5403,27,5359,34,2115,78,579,118,501,118,72,1354,48,244,0.6292800296131779,39.14491948917268,1.4436424208772902,10.716268739589117,2.1839718674810293,9.272626318711827,2.1839718674810293,1.3325930038867295,25.060151767536553,0.8883953359244865,4.516009624282806
Yonne,180408,2715,176511,4023,42617,5356,55164,12941,31601,2286,5917,9322,1487,4594,2.2299454569642148,23.622566626757127,2.9688262161323222,30.577357988559267,7.173185224602014,17.5164072546672,1.2671278435546096,3.279788036007272,5.167176621879296,0.8242428273690745,2.5464502682807857
Yvelines,749537,9601,736506,11721,246062,13687,101398,64407,168585,9046,40470,61296,3963,13097,1.5637653644850087,32.828532814257336,1.8260606214236257,13.528084670936858,8.592904686493128,22.491884990334032,1.2068783795863312,5.3993331883549445,8.177848458448349,0.5287264004311996,1.7473453612029826
