Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent,employment,security,Winner_2017
"CÃ""TE-D'OR",288973,4577,282745,1775,5721,80734,8183,69110,21651,53875,5126,13462,14344,2286,6478,21.2305,0.483837115,1.559454722,22.00682006,2.230557244,18.83830027,5.90172246,14.68547862,1.39726707,3.66952971,3.909949054,0.623127687,1.76580103,11888,54266,MACRON
"CÃ""TES-D'ARMOR",375155,5722,366393,2603,11628,113656,11949,79850,17319,74226,8279,19349,17235,3895,6404,20.4762248,0.551772965,2.464854415,24.09231969,2.532898642,16.92626634,3.671208601,15.73411453,1.754947515,4.101519442,3.653402635,0.825645678,1.35749292,16433,54266,MACRON
DEUX-SÃ?VRES,213811,3839,207804,1644,4538,68446,7014,47903,8803,39120,4340,10074,9257,2134,4531,21.74229725,0.601726119,1.660969057,25.05215692,2.567218371,17.53314252,3.222016441,14.31844635,1.588498393,3.687219542,3.38818655,0.781072712,1.658406963,9606,54266,MACRON
DORDOGNE,253312,3636,246556,1294,8855,58532,15850,63327,15800,50054,5362,8563,11280,2223,5416,20.38419954,0.406703377,2.783120867,18.39657037,4.981644917,19.90363582,4.965929949,15.73194036,1.685273189,2.691345453,3.545296824,0.698687486,1.702245355,9672,40121,LE PEN
DOUBS,284262,4989,277097,2069,5001,76338,8688,66703,19486,55587,4902,13096,15107,2345,7775,22.83436352,0.561649823,1.357569243,20.72267963,2.358440628,18.1071668,5.28966092,15.08962237,1.330694746,3.555034353,4.100939522,0.63657266,2.110598053,11617,55253,MACRON
"DRÃ""ME",297899,4577,291424,2041,6752,72228,9945,70574,22010,65258,5311,14234,13204,2109,7758,22.05432928,0.534030372,1.766669806,18.89855254,2.602122516,18.46578124,5.758945859,17.07484275,1.389630234,3.724345087,3.454844213,0.551822663,2.029891048,17760,69562,MACRON
ESSONNE,607300,8954,594941,2831,13480,164503,11610,105862,39284,167310,7944,29562,33046,4306,15203,24.04002502,0.35409631,1.686053784,20.57573483,1.452157598,13.24102564,4.913570982,20.92682927,0.993621013,3.697560976,4.133333333,0.538586617,1.901563477,12497,104359,MÃ?LENCHON
EURE,325735,5085,318861,2197,7056,83058,7768,102952,20930,55571,4027,11477,13552,2710,7563,24.63292287,0.508331829,1.632585065,19.21758083,1.797324374,23.82056372,4.842687842,12.85776427,0.931748874,2.655495861,3.135599887,0.627027427,1.74989241,9379,52751,LE PEN
EURE-ET-LOIR,224928,3489,220021,1419,4267,59869,5694,61960,14803,40529,3076,7904,13003,1766,5731,25.98325699,0.466948349,1.404135734,19.70100827,1.873716632,20.38909072,4.871202548,13.33682146,1.012215027,2.600958248,4.278879061,0.581135155,1.885892171,8447,54266,LE PEN
FINISTÃ?RE,554831,8692,542919,3627,15340,174894,18320,100890,25607,116591,13077,33200,26541,6266,8566,21.82186583,0.511060292,2.161473635,24.64333571,2.581368774,14.21584583,3.608139202,16.42818595,1.842606957,4.67802638,3.73974392,0.882907027,1.206987168,26081,63102,MACRON
FRANÃ?AIS Ã?TABLIS HORS DE FRANCE,504291,3193,498951,1300,3266,224957,5964,26380,43252,109394,12489,40774,20956,3145,7074,64.8760296,0.090545264,0.227477562,15.66830066,0.415393809,1.837372349,3.012510569,7.61931428,0.869861382,2.839917367,1.459589649,0.219049888,0.492705534,11515,54266,MACRON
GARD,422315,5840,413979,1768,12123,88278,15162,121480,38479,88827,6585,14974,15460,2706,8137,23.91241681,0.318536749,2.184174777,15.90485696,2.731704856,21.88678973,6.932678483,16.00376911,1.186405255,2.697833302,2.785394874,0.487534187,1.46602575,17435,82782,LE PEN
GERS,119011,1762,116399,529,3128,28970,11720,26015,8396,21353,3861,4090,5126,793,2418,19.19295482,0.359184671,2.123874577,19.67028341,7.957739785,17.66387376,5.700783552,14.49843154,2.621572808,2.777061068,3.480492674,0.538437513,1.641793072,5989,33110,MACRON
GIRONDE,909534,12367,892020,3679,21522,256179,37725,191542,58321,194775,19598,46677,37575,8734,15693,21.49362823,0.317552661,1.857670118,22.11207477,3.256231075,16.53293605,5.03397356,16.81199225,1.691600175,4.02892241,3.243283835,0.753874678,1.354540338,28885,131824,MACRON
GUADELOUPE,141431,2719,135085,1084,668,18137,1033,24204,3098,75862,2266,1927,3979,713,2114,55.2466118,0.343013009,0.21137702,5.73913924,0.326874943,7.658936217,0.980308395,24.00521481,0.717036418,0.609765745,1.259085573,0.22561649,0.668938653,11792,76243,MÃ?LENCHON
GUYANE,37239,825,35861,297,246,5101,516,6334,1573,18143,535,940,997,462,717,63.84317381,0.288369112,0.238851184,4.95276378,0.501004923,6.14993252,1.527288262,17.61576029,0.519452778,0.912683386,0.968026953,0.448574175,0.696163817,9236,84739,MÃ?LENCHON
HAUT-RHIN,393877,6382,385109,2265,4649,107248,11063,106937,30284,66238,4881,18963,15994,2842,13745,25.92649011,0.425961658,0.874302758,20.16933151,2.080535903,20.11084406,5.695286024,12.45688666,0.917933268,3.566229985,3.007872298,0.534473745,2.584919641,14443,54266,MACRON
HAUTE-CORSE,80851,1463,78511,257,2687,13773,8601,21998,9657,10368,959,2520,5555,762,1374,37.38014468,0.199048903,2.081106619,10.66731725,6.661554905,17.03765664,7.479436777,8.030112923,0.742754465,1.951763558,4.30239943,0.590176123,1.064175845,7582,54266,LE PEN
HAUTE-GARONNE,746955,10129,730979,3006,16307,196712,35479,133254,50613,188867,19658,42599,27153,4888,12443,19.70997107,0.32311428,1.752835849,21.14452968,3.813629919,14.3234432,5.440380256,20.30127236,2.113034103,4.578957156,2.918670007,0.525410047,1.337495338,20767,54266,MACRON
HAUTE-LOIRE,143706,2837,139655,1020,3493,32417,7817,38629,9529,24332,2491,5796,9560,1205,3366,20.47524709,0.564452758,1.932974002,17.93908337,4.325810986,21.37671134,5.273206202,13.46496519,1.378482175,3.207419787,5.290361139,0.666828993,1.8626941,5372,54266,LE PEN
HAUTE-MARNE,96116,1489,93808,696,1833,21886,3327,34331,6450,13228,1305,2580,4841,747,2584,25.71547813,0.537912806,1.416658294,16.91488457,2.571315954,26.53316743,4.98496781,10.22343476,1.00858651,1.993987124,3.741430879,0.57732883,1.997078577,3331,54266,LE PEN
HAUTE-SAVOIE,436281,6918,427139,1880,5997,130422,13371,87744,33353,78062,6606,29948,22349,3232,14175,22.87290181,0.332352187,1.060168121,23.05640264,2.36376654,15.51165442,5.896246011,13.80004066,1.167829015,5.29429963,3.950925017,0.571362909,2.505900135,21645,54266,MACRON
"HAUTE-SAÃ""NE",138676,2364,134739,1171,2836,30204,4820,46618,9675,21089,2345,4292,6754,1295,3640,21.96719467,0.658920181,1.595813522,16.99575162,2.712207748,26.23188814,5.444109951,11.86675295,1.319528458,2.415102833,3.80046704,0.72869482,2.048223279,3912,54266,LE PEN
HAUTE-VIENNE,208258,3787,202118,1457,8030,54951,9973,45357,10796,43137,5654,7877,9544,1787,3555,21.03722577,0.552433818,3.044642112,20.83513434,3.781346922,17.19748845,4.093394302,16.35575676,2.143761707,2.986630874,3.61868796,0.677556096,1.347908183,6345,54266,MACRON
HAUTES-ALPES,88162,1395,86235,428,1925,20507,3871,19696,6164,19718,1459,5013,4511,801,2142,22.33722989,0.377029396,1.695751372,18.06481734,3.41000185,17.35039949,5.42992803,17.36977951,1.285247404,4.416000846,3.973784124,0.705608753,1.886908799,6734,54266,MACRON
HAUTES-PYRÃ?NÃ?ES,137848,2064,134888,636,4539,33692,14761,29938,8714,26449,3315,4872,4560,1003,2409,22.31420794,0.358424959,2.558004542,18.98750585,8.318727704,16.87189689,4.910872787,14.90563167,1.868205565,2.745670441,2.569839329,0.56525194,1.357619066,6623,54266,MACRON
HAUTS-DE-SEINE,788877,11841,774742,2306,13170,287494,11260,64812,62761,199640,10518,47103,62231,3704,9743,20.92782461,0.231139248,1.320079746,28.8166292,1.128633101,6.496355999,6.290776381,20.01068493,1.054259588,4.721314827,6.237652443,0.371266164,0.976578357,38860,54266,MACRON
HÃ?RAULT,651599,8867,638728,2580,14165,142306,22068,165734,57751,154819,12150,28057,23230,4393,11475,23.10291315,0.304473279,1.671652712,16.79394358,2.604308651,19.55874977,6.815362919,18.27063898,1.433856721,3.311087902,2.741439639,0.518430664,1.354198014,27487,127986,LE PEN
ILLE-ET-VILAINE,610209,9511,596832,3783,12696,205882,13985,101797,27463,132510,13973,42613,26194,5376,10560,20.92009704,0.490257064,1.645335365,26.68123312,1.812383041,13.19236013,3.559061526,17.1726047,1.810827903,5.522422489,3.394605747,0.696701554,1.368520909,24371,54266,MACRON
