Libellé du département,% Abs/Ins,% Vot/Ins,% Blancs/Ins,% Blancs/Vot,% Nuls/Ins,% Nuls/Vot,% Exp/Ins,% Exp/Vot,% Voix/Ins,% Voix/Exp,% Voix/Ins.1,% Voix/Exp.1,% Voix/Ins.2,% Voix/Exp.2,% Voix/Ins.3,% Voix/Exp.3,% Voix/Ins.4,% Voix/Exp.4,% Voix/Ins.5,% Voix/Exp.5,% Voix/Ins.6,% Voix/Exp.6,% Voix/Ins.7,% Voix/Exp.7,% Voix/Ins.8,% Voix/Exp.8,% Voix/Ins.9,% Voix/Exp.9,% Voix/Ins.10,% Voix/Exp.10,% Voix/Ins.11,% Voix/Exp.11
Aveyron,19.986666666666668,80.01333333333334,1.4033333333333333,1.7566666666666666,0.7566666666666667,0.9466666666666668,77.85000000000001,97.3,0.41,0.5266666666666666,2.07,2.6633333333333336,21.516666666666666,27.63,6.773333333333333,8.700000000000001,15.67,20.13,4.596666666666667,5.8999999999999995,14.979999999999999,19.25,2.0433333333333334,2.626666666666667,3.0566666666666666,3.9266666666666663,4.526666666666666,5.81,0.62,0.7966666666666667,1.5866666666666667,2.0433333333333334
Bas-Rhin,24.584444444444443,75.41555555555556,1.041111111111111,1.3788888888888888,0.43,0.5688888888888889,73.94333333333333,98.0488888888889,0.4588888888888889,0.6188888888888889,0.9066666666666667,1.2266666666666666,22.65777777777778,30.624444444444446,1.8133333333333335,2.4466666666666668,17.844444444444445,24.095555555555556,5.134444444444444,6.9366666666666665,14.52111111111111,19.705555555555556,1.0966666666666667,1.4855555555555555,3.7399999999999998,5.061111111111111,3.145555555555555,4.251111111111111,0.5322222222222223,0.7211111111111111,2.091111111111111,2.8222222222222224
Bouches-du-Rhône,27.895,72.105,0.92,1.266875,0.374375,0.51625,70.810625,98.21625,0.24812499999999998,0.35125,1.685625,2.369375,15.94125,22.3375,1.635,2.26875,18.110625,25.36125,7.555,10.593125,17.630625000000002,25.566875,0.820625,1.150625,2.935625,4.104375,2.465,3.4162500000000002,0.41875,0.59,1.35875,1.89
Calvados,23.046666666666667,76.95333333333333,1.08,1.4033333333333333,0.5016666666666666,0.65,75.37333333333333,97.945,0.5399999999999999,0.715,1.7216666666666667,2.285,23.395,31.013333333333332,1.8866666666666667,2.506666666666667,17.628333333333334,23.433333333333334,4.255,5.6433333333333335,14.886666666666665,19.751666666666665,1.3633333333333333,1.8083333333333333,3.9133333333333336,5.18,3.5233333333333334,4.668333333333333,0.7433333333333333,0.9883333333333333,1.5133333333333334,2.01
Cantal,21.68,78.32,1.545,1.975,0.7050000000000001,0.895,76.07,97.125,0.485,0.635,2.125,2.795,21.53,28.295,5.98,7.869999999999999,18.73,24.630000000000003,4.23,5.5600000000000005,11.125,14.615,1.54,2.02,2.34,3.07,6.09,8.015,0.56,0.73,1.345,1.765
Charente,23.28333333333333,76.71666666666667,1.2766666666666666,1.6600000000000001,0.6699999999999999,0.8733333333333334,74.77333333333333,97.46666666666665,0.5133333333333333,0.68,2.08,2.78,20.66,27.633333333333336,3.27,4.366666666666667,19.503333333333334,26.060000000000002,4.13,5.523333333333333,14.516666666666666,19.436666666666667,1.5533333333333335,2.08,2.9499999999999997,3.9499999999999997,3.236666666666667,4.326666666666667,0.6833333333333332,0.9166666666666666,1.6833333333333333,2.2433333333333336
Charente-Maritime,22.496000000000002,77.50399999999999,1.1400000000000001,1.472,0.54,0.702,75.82000000000001,97.83200000000001,0.45600000000000007,0.6,1.934,2.552,21.764,28.71,2.792,3.6799999999999997,19.374000000000002,25.54,4.666,6.151999999999999,13.754,18.142000000000003,1.3279999999999998,1.752,3.6060000000000003,4.756,3.6980000000000004,4.882,0.658,0.868,1.794,2.362
Cher,26.683333333333334,73.31666666666666,1.4000000000000001,1.9066666666666665,0.4766666666666666,0.6533333333333333,71.44,97.44,0.5833333333333334,0.8166666666666668,2.58,3.6199999999999997,19.383333333333333,27.126666666666665,2.4333333333333336,3.4033333333333338,19.82,27.736666666666665,4.8,6.713333333333334,12.503333333333332,17.506666666666664,1.1500000000000001,1.61,2.25,3.1466666666666665,3.623333333333333,5.07,0.65,0.9066666666666666,1.6733333333333331,2.3366666666666664
Corrèze,20.76,79.24,1.3599999999999999,1.72,0.8049999999999999,1.0150000000000001,77.07,97.275,0.48,0.62,3.4050000000000002,4.41,17.895,23.24,5.505,7.135,17.105,22.200000000000003,4.33,5.619999999999999,14.995000000000001,19.439999999999998,1.9449999999999998,2.525,2.725,3.535,6.640000000000001,8.61,0.64,0.825,1.415,1.835
Corse-du-Sud,37.21,62.79,0.9850000000000001,1.5699999999999998,1.42,2.26,60.385000000000005,96.16999999999999,0.17,0.29,1.625,2.6900000000000004,11.355,18.805,5.925000000000001,9.815000000000001,17.634999999999998,29.205,8.055,13.335,8.195,13.565000000000001,0.555,0.925,2.0,3.315,3.275,5.42,0.535,0.885,1.065,1.76
Creuse,24.15,75.85,1.53,2.01,0.82,1.08,73.5,96.91,0.54,0.73,2.67,3.64,17.09,23.25,4.7,6.4,18.44,25.09,3.85,5.24,15.04,20.46,1.8,2.45,2.1,2.85,4.83,6.57,0.73,0.99,1.71,2.33
Côte-d'Or,21.212,78.788,1.2440000000000002,1.582,0.45,0.5700000000000001,77.09200000000001,97.846,0.484,0.626,1.5619999999999998,2.0300000000000002,21.986,28.512,2.2199999999999998,2.882,18.735999999999997,24.324,5.901999999999999,7.651999999999999,14.819999999999999,19.22,1.4,1.818,3.684,4.772,3.908,5.066,0.624,0.8099999999999999,1.762,2.2880000000000003
