Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Charente,197699,3293,192666,1319,5374,53126,8482,50432,10617,37305,4003,7557,8343,1763,4345,23.255877146672464,0.5120182603024751,2.08611533803298,20.622806745132138,3.2925996087078038,19.577031769199714,4.121378218067761,14.481304928418373,1.5539113692121362,2.9335269091022016,3.238641657091395,0.6843731561131642,1.6866712213906403
Charente-Maritime,402765,5918,394067,2330,10002,113753,14335,99790,24347,71633,6857,19012,19316,3403,9289,22.426146278327124,0.44876560567948504,1.9264178489297037,21.90919911710664,2.7609677928821537,19.219879738521808,4.689311674454259,13.796749627312686,1.320680582894519,3.6617732597332058,3.7203246520622035,0.6554289082091364,1.7890917215264965
Cher,164762,3146,160533,1304,5749,43497,5495,44772,10822,27901,2585,5028,8147,1463,3770,26.63223048492675,0.580665271407579,2.560003562363628,19.369016342343144,2.4468985171661397,19.936768045598257,4.818987398138665,12.424188449035935,1.1510887473838893,2.238945540366033,3.627822059936768,0.6514672485193926,1.6787638598209913
Corrèze,146602,2517,142600,885,6292,33125,10177,31658,8012,27731,3605,5040,12278,1179,2618,20.76938043149293,0.47829564615850234,3.400492887716719,17.902308789830947,5.5001297072938735,17.10947295602923,4.330061827143413,14.98713736002421,1.9483116433914136,2.723853171343335,6.635608975744736,0.6371870811535302,1.4148903973366769
Corse-du-Sud,71552,1130,68861,197,1850,12932,6729,20139,9199,9330,624,2266,3772,608,1215,37.189908530697515,0.17293140680138347,1.6239751400129918,11.352025140890817,5.906880387647255,17.678505591741427,8.0751066556646,8.19010165206552,0.5477624256043822,1.9891500904159132,3.3111536368264893,0.5337172352042697,1.0665566460085325
Creuse,68979,1388,66848,490,2430,15542,4275,16772,3501,13679,1641,1906,4391,665,1556,24.153893519231193,0.538781254810547,2.6719152024278143,17.089261759725552,4.7005915598267105,18.441712664658148,3.849537087942295,15.040793437864227,1.804367426824709,2.0957491258549026,4.828139775251248,0.7312031315285994,1.710905372418798
Côte-d'Or,288973,4577,282745,1775,5721,80734,8183,69110,21651,53875,5126,13462,14344,2286,6478,21.23050000136292,0.4838371145317411,1.55945472238653,22.006820058932725,2.2305572440637955,18.83830027340204,5.901722460127733,14.68547861712538,1.3972670699096927,3.6695297103246753,3.9099490539962223,0.6231276866589072,1.765801029823447
Côtes-d'Armor,375155,5722,366393,2603,11628,113656,11949,79850,17319,74226,8279,19349,17235,3895,6404,20.476224796079297,0.5517729654564263,2.4648544150316267,24.092319693398228,2.5328986416591768,16.926266343332937,3.6712086011294067,15.73411453475555,1.75494751479591,4.101519442418898,3.653402635282945,0.8256456782377181,1.3574929200088182
Deux-Sèvres,213811,3839,207804,1644,4538,68446,7014,47903,8803,39120,4340,10074,9257,2134,4531,21.742297246846796,0.601726119452151,1.6609690572225433,25.052156917288283,2.567218370947316,17.53314251831897,3.2220164413243833,14.318446346087683,1.588498393200934,3.687219542190371,3.3881865497375685,0.7810727122329016,1.6584069630399614
Dordogne,253312,3636,246556,1294,8855,58532,15850,63327,15800,50054,5362,8563,11280,2223,5416,20.384199542380127,0.40670337683236535,2.7831208669633654,18.39657036534158,4.981644917150688,19.90363581504111,4.9659299489577835,15.731940358552714,1.6852731890070656,2.6913454527168037,3.5452968243192275,0.6986874858565286,1.7022453546554022
Doubs,284262,4989,277097,2069,5001,76338,8688,66703,19486,55587,4902,13096,15107,2345,7775,22.834363522350625,0.5616498226011798,1.3575692425463992,20.72267963157509,2.3584406277230787,18.107166803753742,5.2896609198678535,15.089622372610817,1.330694746443201,3.5550343532068873,4.100939521525385,0.6365726602222168,2.110598052549141
Drôme,297899,4577,291424,2041,6752,72228,9945,70574,22010,65258,5311,14234,13204,2109,7758,22.054329282970684,0.5340303724868389,1.7666698064826736,18.898552544820873,2.6021225156205845,18.465781238552754,5.75894585910599,17.074842747548328,1.3896302343349347,3.724345086711252,3.454844212795797,0.551822663191937,2.029891048384565
Essonne,607300,8954,594941,2831,13480,164503,11610,105862,39284,167310,7944,29562,33046,4306,15203,24.04002501563477,0.35409631019387117,1.6860537836147593,20.57573483427142,1.4521575984990618,13.241025641025642,4.913570981863665,20.926829268292682,0.9936210131332083,3.697560975609756,4.133333333333333,0.5385866166353971,1.9015634771732335
Eure,325735,5085,318861,2197,7056,83058,7768,102952,20930,55571,4027,11477,13552,2710,7563,24.632922873312697,0.5083318293930097,1.6325850651784597,19.21758083100801,1.797324374476513,23.82056372310839,4.8426878421464234,12.85776426545241,0.9317488743585116,2.6554958606934784,3.135599887088788,0.6270274272439946,1.7498924104230005
Eure-et-Loir,224928,3489,220021,1419,4267,59869,5694,61960,14803,40529,3076,7904,13003,1766,5731,25.983256989417153,0.46694834939188123,1.4041357342178697,19.70100826620334,1.873716632443532,20.38909071763281,4.871202548307271,13.336821460538092,1.012215026588743,2.6009582477754964,4.278879060706576,0.5811351550571263,1.8858921707997682
Finistère,554831,8692,542919,3627,15340,174894,18320,100890,25607,116591,13077,33200,26541,6266,8566,21.821865828003624,0.5110602915875841,2.1614736346715024,24.643335714617844,2.5813687736102953,14.215845828031807,3.6081392022837786,16.428185954366697,1.8426069570142918,4.67802638012346,3.739743920327011,0.8829070270437831,1.2069871678354689
Français établis hors de France,504291,3193,498951,1300,3266,224957,5964,26380,43252,109394,12489,40774,20956,3145,7074,64.87602960412218,0.09054526357726228,0.22747756218718354,15.668300660423224,0.41539380921137864,1.8373723485909068,3.0125105694182674,7.619314279823869,0.8698613821664835,2.839917366999455,1.4595896488654678,0.21904988765422298,0.4927055342658103
