DeptCode,DeptName,Projets de recrutement totaux_2015,Projets de recrutement saisonniers_2015,Projets de recrutement totaux_2017,Projets de recrutement saisonniers_2017,Projets de recrutement totaux_2016,Projets de recrutement saisonniers_2016
37,INDRE-ET-LOIRE,11970,3672,12980,5498.75,12515.75,3808.54
38,ISÈRE,22366.586,6783,25654,8684.25,24280.82,7132.58
39,JURA,6056,2262,7031,3144.25,6479.43,2511.4
40,LANDES,10802,4605,10801,7010.75,11290.56,4547.24
41,LOIR-ET-CHER,6952,2419,7350,3415,6681.19,2369.82
42,LOIRE,13659,3559,15054,4632.25,13993.94,3808.5
43,HAUTE-LOIRE,4312,2139,5372,2081,4930.28,1739.96
44,LOIRE-ATLANTIQUE,26425.913,7783,31495,13012.25,29191.02,9309.61
45,LOIRET,11185,2909,12958,4120.25,11485.51,3564.05
46,LOT,5009,2676,5303,3094.25,4606.43,2377.27
47,LOT-ET-GARONNE,8391.482,3592.464,9819,5037.25,8580.75,3535.47
48,LOZÈRE,2364,1177,2668,1693.25,2523.19,1241.2
49,MAINE-ET-LOIRE,14974.627,4609.627,18883,7820.75,16387.89,5029.5
50,MANCHE,9492,2985,11209,6140.25,8871.69,3259.27
51,MARNE,11181.164,4212.961,13034,5311.5,12112.66,4236.95
52,HAUTE-MARNE,3369,1475,3331,1418,3546.47,1458.61
53,MAYENNE,5059,1123,6825,2255.75,5798.65,1681.38
54,MEURTHE-ET-MOSELLE,11858,3078,13759,4715.75,12662.09,3821.97
55,MEUSE,3618,1148,3437,1192,3685.03,1232.94
56,MORBIHAN,15982,6401,19497,10417.75,17926.06,7618.66
57,MOSELLE,17162.051,3993,17659,4428.5,16129.78,4286.33
58,NIÈVRE,4002,1294,4775,1982.75,3732.85,1431.31
59,NORD,39926.369,7717,43963,12547,40100.18,9187.59
60,OISE,14010,4055,14713,4790.5,13904.17,4242.14
61,ORNE,4987,1715,6221,2816.75,4620.29,1576.08
62,PAS-DE-CALAIS,23328,6719,26401,9724.5,24047.3,7288.24
63,PUY-DE-DÔME,13832.349,5136,14194,6252.25,14380.35,4466.64
64,PYRÉNÉES-ATLANTIQUES,14811,5009,14371,6336.25,14894.9,4856.96
65,HAUTES-PYRÉNÉES,6678,2875,6623,3736.75,6514.69,3325.24
66,PYRÉNÉES-ORIENTALES,11523.335,5303.085,11883,7676,12735.37,5579.94
67,BAS-RHIN,18766.055,4408.054,22539,6295.5,20765.11,6379.78
68,HAUT-RHIN,13331.311,3719.294,14443,4598.75,13376.82,4032.07
69,RHÔNE,41613.064,8927.477,47538,11926.25,43789.4,9592.89
70,HAUTE-SAÔNE,3735,1448,3912,1221.75,3621.33,1209.02
71,SAÔNE-ET-LOIRE,9992,3260,10742,3917,10364.23,3389.95
72,SARTHE,8827,2610,11767,3918.25,10269.91,2843.48
73,SAVOIE,15799.052,6973.492,16882,10503,15989.75,6910.58
74,HAUTE-SAVOIE,19531,6508,21645,9818.25,20000.12,6778.87
75,PARIS,36013.516,6718,23443,8075.75,39520.95,7824.49
76,SEINE-MARITIME,18253,3772,22073,9343,17060.13,4750.19
77,SEINE-ET-MARNE,15993,2950,17929,3606,16619.59,3509.58
78,YVELINES,18563.521,3170,26601,4944,20165.91,4109.85
79,DEUX-SÈVRES,8868,3257,9606,4266.75,8584.13,3302.41
80,SOMME,11237,4051,11413,4330,10741.85,3578.9
81,TARN,7367,2742,7642,3450.25,7753.24,2844.68
82,TARN-ET-GARONNE,5051.582,2011.503,5663,2888.5,6124.42,2198.5
83,VAR,18788.126,6921.082,22565,12036.75,21355.23,7889.58
84,VAUCLUSE,14514.592,5438.351,19590,9965,18194.12,7006.1
85,VENDÉE,16492,7254,19837,10803.25,19385.47,7892.89
86,VIENNE,7884,2846,8803,3858.25,8223.09,3208.28
87,HAUTE-VIENNE,5999.119,1614.093,6345,2417,6079,1905.12
88,VOSGES,6627,2051,8179,3425.25,7741.79,2235.26
89,YONNE,5877,1887,7678,2659.5,5933.42,2367.74
90,TERRITOIRE DE BELFORT,2967,856,2884,867.5,2834.15,897.89
91,ESSONNE,16587,2329,12497,2292,17770.18,2780.91
92,HAUTS-DE-SEINE,29124.875,3425,38860,7551.25,32292.66,4401.2
93,SEINE-SAINT-DENIS,22118,2983,30837,5357,23033.31,3641.43
94,VAL-DE-MARNE,17486.118,2252,22208,3934.5,17846.01,3214.72
95,VAL-D'OISE,14504.073,1892,11931,2024,15972.8,3206.45
971,GUADELOUPE,9868,2622,11792,5434,11520.2,4342.39
972,MARTINIQUE,8054,2422,9236,3746,9183.54,2934.08
973,GUYANE,5886,614,5614,506,4892.63,640.42
974,LA REUNION,18403,3284,21661,6199.5,20713,5282.39
976,MAYOTTE,2768,263,3805,1177.75,,
